,name,latitude,longitude,coordinates
0,East River Rd & Carmen,41.971302724,-87.84658291699998,"(41.971302724, -87.84658291699998)"
1,Pavilion 5441 Building,41.97852496899998,-87.84299182199999,"(41.97852496899998, -87.84299182199999)"
2,Irving Park & Cumberland,41.95195466000001,-87.83641751300001,"(41.95195466000001, -87.83641751300001)"
3,Lawrence & Chester,41.96669260300001,-87.838993233,"(41.96669260300001, -87.838993233)"
4,Lawrence & Cumberland,41.96669985300002,-87.83643297399999,"(41.96669985300002, -87.83643297399999)"
5,Cumberland & Ainslie,41.96831461599999,-87.83659367799999,"(41.96831461599999, -87.83659367799999)"
6,Cumberland & Argyle,41.97032400000001,-87.83670999899999,"(41.97032400000001, -87.83670999899999)"
7,Bryn Mawr & Gregory,41.98031400000002,-87.83718399999998,"(41.98031400000002, -87.83718399999998)"
8,Belmont & Plainfield,41.93758871300003,-87.833413968,"(41.93758871300003, -87.833413968)"
9,Irving Park & Plainfield,41.95217966600001,-87.83412095199998,"(41.95217966600001, -87.83412095199998)"
10,Addison & Paris,41.94503206799999,-87.83023935799997,"(41.94503206799999, -87.83023935799997)"
11,Irving Park & Pioneer,41.95222817600001,-87.83164532699999,"(41.95222817600001, -87.83164532699999)"
12,Lawrence & Courtland,41.96657548600001,-87.83147139300002,"(41.96657548600001, -87.83147139300002)"
13,Lawrence & Prospect,41.96676516600002,-87.83101847400002,"(41.96676516600002, -87.83101847400002)"
14,Lawrence & Vine,41.96664628899998,-87.82882447700001,"(41.96664628899998, -87.82882447700001)"
15,Lawrence & Canfield,41.966930633,-87.82659778099998,"(41.966930633, -87.82659778099998)"
16,Washington & Summit,42.00772951599998,-87.82679661399999,"(42.00772951599998, -87.82679661399999)"
17,Belmont & Ozanam (78th Avenue),41.93776212099999,-87.82147456899997,"(41.93776212099999, -87.82147456899997)"
18,Lawrence & Opal,41.96674029600001,-87.82322630200002,"(41.96674029600001, -87.82322630200002)"
19,Talcott & Canfield,41.99332900000002,-87.82192300000003,"(41.99332900000002, -87.82192300000003)"
20,Canfield & Palatine,41.99493809000001,-87.82178224400002,"(41.99493809000001, -87.82178224400002)"
21,Addison & Overhill,41.94528657799998,-87.819467347,"(41.94528657799998, -87.819467347)"
22,Devon & Overhill,41.99685399999998,-87.819091001,"(41.99685399999998, -87.819091001)"
23,Belmont & Oriole (76th Avenue),41.937837118,-87.81658557499998,"(41.937837118, -87.81658557499998)"
24,Harlem & Altgeld,41.92517638499999,-87.806435626,"(41.92517638499999, -87.806435626)"
25,Harlem & Grand,41.92421271699999,-87.80617883000002,"(41.92421271699999, -87.80617883000002)"
26,Harlem & Wrightwood,41.92703647899998,-87.80623984800002,"(41.92703647899998, -87.80623984800002)"
27,Harlem & Barry,41.93644699999999,-87.80675500000001,"(41.93644699999999, -87.80675500000001)"
28,Harlem & Roscoe,41.94150300000001,-87.80679300000003,"(41.94150300000001, -87.80679300000003)"
29,Harlem & Cornelia,41.94352800000001,-87.807006,"(41.94352800000001, -87.807006)"
30,Harlem & Waveland,41.94700399999999,-87.80698999999998,"(41.94700399999999, -87.80698999999998)"
31,Harlem & Forest Preserve Avenue,41.95368203599998,-87.80719163600003,"(41.95368203599998, -87.80719163600003)"
32,Lawrence & Octavia,41.96726754600002,-87.80951051199997,"(41.96726754600002, -87.80951051199997)"
33,Harlem & Lawrence,41.96749736499999,-87.80730553799998,"(41.96749736499999, -87.80730553799998)"
34,Harlem & Argyle,41.97179399599997,-87.80694273300003,"(41.97179399599997, -87.80694273300003)"
35,Harlem & Summerdale,41.97723909199999,-87.80709093399997,"(41.97723909199999, -87.80709093399997)"
36,Harlem Blue Line Station,41.98196220900002,-87.80840792200001,"(41.98196220900002, -87.80840792200001)"
37,Palatine & Harlem,41.99533800099999,-87.80692899899998,"(41.99533800099999, -87.80692899899998)"
38,6486 N Northwest Hwy,41.99857200000002,-87.80954399900003,"(41.99857200000002, -87.80954399900003)"
39,Harlem & Ontario,41.890957007,-87.80499844299999,"(41.890957007, -87.80499844299999)"
40,Harlem & Oak,41.89236829499998,-87.80525962000002,"(41.89236829499998, -87.80525962000002)"
41,Harlem & Lemoyne,41.90713254399998,-87.80594654800001,"(41.90713254399998, -87.80594654800001)"
42,Addison & Nordica,41.94527300099998,-87.80344400000001,"(41.94527300099998, -87.80344400000001)"
43,Higgins & Montclare,41.980545581,-87.804744884,"(41.980545581, -87.804744884)"
44,Northwest Hwy & Neva,41.99579999999997,-87.80470000000003,"(41.99579999999997, -87.80470000000003)"
45,63rd Street & Harlem,41.777131677,-87.801223822,"(41.777131677, -87.801223822)"
46,Harlem & 62nd Street,41.779022,-87.80082699899998,"(41.779022, -87.80082699899998)"
47,Harlem & 59th Street,41.78472814399998,-87.801419555,"(41.78472814399998, -87.801419555)"
48,Harlem & 57th Street,41.788252,-87.80123099999997,"(41.788252, -87.80123099999997)"
49,Cermak & Home,41.85055799999998,-87.798156,"(41.85055799999998, -87.798156)"
50,Grand & Sayre,41.923497,-87.80085099899998,"(41.923497, -87.80085099899998)"
51,Irving Park & Sayre,41.95280018800003,-87.80104568799999,"(41.95280018800003, -87.80104568799999)"
52,Northwest Hwy & Raven,41.99230361600002,-87.79886835600001,"(41.99230361600002, -87.79886835600001)"
53,Northwest Hwy & Niagara,41.993399635,-87.80083969999998,"(41.993399635, -87.80083969999998)"
54,65th Street & Sayre,41.77370161099998,-87.79594779899998,"(41.77370161099998, -87.79594779899998)"
55,Grand & Oak Park,41.92351819300001,-87.79541381000001,"(41.92351819300001, -87.79541381000001)"
56,Diversey & Oak Park,41.930936121,-87.79533937000002,"(41.930936121, -87.79533937000002)"
57,Irving Park & Oak Park,41.95280984099998,-87.79609920399997,"(41.95280984099998, -87.79609920399997)"
58,Gunnison & Oak Park,41.96828371100003,-87.79782742700002,"(41.96828371100003, -87.79782742700002)"
59,Higgins & Talcott,41.978758938,-87.79542135100002,"(41.978758938, -87.79542135100002)"
60,63rd Street & New England,41.77741612099999,-87.79371968499999,"(41.77741612099999, -87.79371968499999)"
61,Gunnison & Natoma,41.96831346800002,-87.792758209,"(41.96831346800002, -87.792758209)"
62,63rd Street & Normandy,41.77762193199999,-87.78848487200003,"(41.77762193199999, -87.78848487200003)"
63,Fullerton & Grand,41.92357280200002,-87.790735229,"(41.92357280200002, -87.790735229)"
64,6600 W Diversey,41.93102089600001,-87.79052301500002,"(41.93102089600001, -87.79052301500002)"
65,Diversey & Natchez,41.930904,-87.788227,"(41.930904, -87.788227)"
66,Addison & Neenah,41.94553500000001,-87.79008999899997,"(41.94553500000001, -87.79008999899997)"
67,Gunnison & Neenah,41.96844150499999,-87.790254307,"(41.96844150499999, -87.790254307)"
68,Nagle & Peterson,41.99003026100002,-87.78752712099998,"(41.99003026100002, -87.78752712099998)"
69,Nagle & Raven,41.993805103,-87.78760294800003,"(41.993805103, -87.78760294800003)"
70,Archer & Natchez,41.79238300999998,-87.78414461300002,"(41.79238300999998, -87.78414461300002)"
71,Lake Street & Ridgeland,41.88815796400002,-87.78447557800001,"(41.88815796400002, -87.78447557800001)"
72,Ridgeland & Chicago,41.89468759800002,-87.784992826,"(41.89468759800002, -87.784992826)"
73,Ridgeland & Augusta,41.898098,-87.78480100000002,"(41.898098, -87.78480100000002)"
74,Ridgeland & Thomas,41.89979909700003,-87.78496516899997,"(41.89979909700003, -87.78496516899997)"
75,Ridgeland & Berkshire,41.90375774799998,-87.78405621899998,"(41.90375774799998, -87.78405621899998)"
76,North Ave & Narragansett,41.90906272699999,-87.78510758300001,"(41.90906272699999, -87.78510758300001)"
77,Narragansett & Bloomingdale,41.912685001,-87.78503899999998,"(41.912685001, -87.78503899999998)"
78,Narragansett & Dickens,41.91818166199999,-87.78516117499998,"(41.91818166199999, -87.78516117499998)"
79,Narragansett & Palmer,41.92013200000002,-87.78540299999997,"(41.92013200000002, -87.78540299999997)"
80,Fullerton & Narragansett,41.92378885800002,-87.78528450099998,"(41.92378885800002, -87.78528450099998)"
81,Narragansett & Fullerton,41.92345282600002,-87.78552697800001,"(41.92345282600002, -87.78552697800001)"
82,Narragansett & George,41.93274200000002,-87.78567199999998,"(41.93274200000002, -87.78567199999998)"
83,Addison & Mobile,41.945752578,-87.78372730199999,"(41.945752578, -87.78372730199999)"
84,Narragansett & Irving Park,41.95304141299999,-87.78665811299999,"(41.95304141299999, -87.78665811299999)"
85,Irving Park & Narragansett,41.95299133899999,-87.78638133099997,"(41.95299133899999, -87.78638133099997)"
86,Irving Park & Mobile,41.952890943,-87.78368926600001,"(41.952890943, -87.78368926600001)"
87,Narragansett & Wright College,41.95829423599997,-87.78686258099998,"(41.95829423599997, -87.78686258099998)"
88,Narragansett & Berteau,41.95645644699999,-87.78658197300001,"(41.95645644699999, -87.78658197300001)"
89,Nagle & Narragansett/Sunnyside,41.96332076300001,-87.78716812900001,"(41.96332076300001, -87.78716812900001)"
90,Higgins & Mobile,41.975370419,-87.78523084,"(41.975370419, -87.78523084)"
91,North Ave & Lombard,41.90910983100002,-87.78090531999999,"(41.90910983100002, -87.78090531999999)"
92,Fullerton & Mobile,41.92381774500001,-87.78304408600002,"(41.92381774500001, -87.78304408600002)"
93,Diversey & Mobile,41.93096800000001,-87.78335499999997,"(41.93096800000001, -87.78335499999997)"
94,Belmont & Mobile,41.93839754800001,-87.78343361100002,"(41.93839754800001, -87.78343361100002)"
95,Addison & Melvina,41.94565999999998,-87.781481999,"(41.94565999999998, -87.781481999)"
96,Irving Park & Melvina,41.95291200000003,-87.78182199899999,"(41.95291200000003, -87.78182199899999)"
97,Caldwell & Moselle,42.005562,-87.78305000099999,"(42.005562, -87.78305000099999)"
98,Fullerton & Meade,41.92375675699998,-87.77824857899998,"(41.92375675699998, -87.77824857899998)"
99,Diversey & Meade,41.93117192,-87.77829433800002,"(41.93117192, -87.77829433800002)"
100,Addison & Austin,41.94582927099998,-87.77704625400003,"(41.94582927099998, -87.77704625400003)"
101,Austin & Grace,41.94948900000003,-87.77670499999999,"(41.94948900000003, -87.77670499999999)"
102,Montrose & Austin,41.96042014099999,-87.77683767500002,"(41.96042014099999, -87.77683767500002)"
103,Austin & Leland,41.965802,-87.77727399899999,"(41.965802, -87.77727399899999)"
104,Caldwell & Wildwood,42.00349313499999,-87.77972891899998,"(42.00349313499999, -87.77972891899998)"
105,65th Street & Meade,41.77407965600003,-87.77390275800002,"(41.77407965600003, -87.77390275800002)"
106,Fillmore & Mason,41.86724299999997,-87.77306800000002,"(41.86724299999997, -87.77306800000002)"
107,Austin & Washington,41.88219675800002,-87.77456775000002,"(41.88219675800002, -87.77456775000002)"
108,Austin & Lake,41.88817172699999,-87.77482935400002,"(41.88817172699999, -87.77482935400002)"
109,Austin & Fulton/Pleasant,41.88536999500002,-87.77490273799998,"(41.88536999500002, -87.77490273799998)"
110,North Ave & Mayfield,41.90938737800002,-87.77314185699998,"(41.90938737800002, -87.77314185699998)"
111,Austin & Belden,41.92208099999999,-87.77572600000002,"(41.92208099999999, -87.77572600000002)"
112,Fullerton & Marmora,41.92389931000002,-87.77316120900002,"(41.92389931000002, -87.77316120900002)"
113,Austin & Diversey,41.93108676600002,-87.775835916,"(41.93108676600002, -87.775835916)"
114,Austin & Wellington,41.935060744,-87.77602671400001,"(41.935060744, -87.77602671400001)"
115,Austin & Barry,41.93668400000001,-87.77621900000003,"(41.93668400000001, -87.77621900000003)"
116,Northwest Hwy & Marmora,41.97919489499998,-87.77577826599997,"(41.97919489499998, -87.77577826599997)"
117,Caldwell & Keota,42.00012800000002,-87.772718999,"(42.00012800000002, -87.772718999)"
118,Caldwell & Lightfoot,42.00155400099999,-87.77584000000002,"(42.00155400099999, -87.77584000000002)"
119,65th Street & Austin,41.774118063,-87.77150963999998,"(41.774118063, -87.77150963999998)"
120,63rd Street & Austin,41.77794821999998,-87.771313448,"(41.77794821999998, -87.771313448)"
121,Austin & 63rd Street,41.77793400000002,-87.77156400000001,"(41.77793400000002, -87.77156400000001)"
122,Austin & 55th Street,41.79235599999998,-87.77213299900001,"(41.79235599999998, -87.77213299900001)"
123,5900 W Jackson,41.87706678900003,-87.77131794299999,"(41.87706678900003, -87.77131794299999)"
124,Jackson & Menard,41.87695724999998,-87.76975039199999,"(41.87695724999998, -87.76975039199999)"
125,Chicago & Mayfield,41.89469800000001,-87.77240400099998,"(41.89469800000001, -87.77240400099998)"
126,Diversey & Menard,41.93128685400001,-87.77097229499998,"(41.93128685400001, -87.77097229499998)"
127,Belmont & Menard,41.93857548,-87.77126818800002,"(41.93857548, -87.77126818800002)"
128,Addison & Menard,41.94577283699999,-87.771679613,"(41.94577283699999, -87.771679613)"
129,Irving Park & Major,41.953252717,-87.76935391500001,"(41.953252717, -87.76935391500001)"
130,Central & Lake (Green Line),41.88789773600001,-87.76520239899997,"(41.88789773600001, -87.76520239899997)"
131,Division & Central,41.90208218999999,-87.765362659,"(41.90208218999999, -87.765362659)"
132,Central & Potomac,41.90386000000001,-87.76563900000002,"(41.90386000000001, -87.76563900000002)"
133,North Ave & Major,41.90926124499998,-87.76780491900001,"(41.90926124499998, -87.76780491900001)"
134,Central & Bloomingdale,41.91236488700002,-87.765709878,"(41.91236488700002, -87.765709878)"
135,Central & Armitage,41.91675099999998,-87.76562799999999,"(41.91675099999998, -87.76562799999999)"
136,Central & Grand,41.91913356499998,-87.76566080200001,"(41.91913356499998, -87.76566080200001)"
137,Fullerton & Central,41.92387389599998,-87.76574160400003,"(41.92387389599998, -87.76574160400003)"
138,Central & Belden,41.92211198699999,-87.76583343300001,"(41.92211198699999, -87.76583343300001)"
139,Central & Wrightwood,41.927540937,-87.76603678700002,"(41.927540937, -87.76603678700002)"
140,Diversey & Major,41.93137095399999,-87.76859829799997,"(41.93137095399999, -87.76859829799997)"
141,Central & Diversey,41.93136649600001,-87.766343452,"(41.93136649600001, -87.766343452)"
142,Diversey & Central,41.93120866200002,-87.76637739400002,"(41.93120866200002, -87.76637739400002)"
143,Central & Addison,41.94597665499998,-87.76685224099998,"(41.94597665499998, -87.76685224099998)"
144,Central & Belle Plaine,41.95492899999999,-87.76698299999998,"(41.95492899999999, -87.76698299999998)"
145,Central & Montrose,41.96038355299999,-87.76715234699998,"(41.96038355299999, -87.76715234699998)"
146,Central & Leland,41.96606555699998,-87.76750558700002,"(41.96606555699998, -87.76750558700002)"
147,Central & Catalpa,41.98119800000001,-87.76845100000003,"(41.98119800000001, -87.76845100000003)"
148,Central & Prescott,41.992458,-87.76548600000001,"(41.992458, -87.76548600000001)"
149,65th Street & Major,41.77425132000002,-87.76411961600002,"(41.77425132000002, -87.76411961600002)"
150,63rd Street & Major,41.77794360299998,-87.76425475999997,"(41.77794360299998, -87.76425475999997)"
151,Roosevelt & Central,41.865666315,-87.76416931199998,"(41.865666315, -87.76416931199998)"
152,Jackson & Lotus,41.87661211800003,-87.76154548599999,"(41.87661211800003, -87.76154548599999)"
153,Central & Madison,41.87996143100003,-87.76495021300002,"(41.87996143100003, -87.76495021300002)"
